EventName,Label,Default,FileName
GW191219_163120,C01:Mixed:NSBH:LowSpin,False,IGWN-GWTC3p0-v2-GW191219_163120_PEDataRelease_cosmo_reweight_C01:Mixed:NSBH:LowSpin.fits
GW191219_163120,C01:SEOBNRv4PHM,False,IGWN-GWTC3p0-v2-GW191219_163120_PEDataRelease_cosmo_reweight_C01:SEOBNRv4PHM.fits
GW191219_163120,C01:SEOBNRv4_ROM_NRTidalv2_NSBH:HighSpin,False,IGWN-GWTC3p0-v2-GW191219_163120_PEDataRelease_cosmo_reweight_C01:SEOBNRv4_ROM_NRTidalv2_NSBH:HighSpin.fits
GW191219_163120,C01:SEOBNRv4_ROM_NRTidalv2_NSBH:LowSpin,False,IGWN-GWTC3p0-v2-GW191219_163120_PEDataRelease_cosmo_reweight_C01:SEOBNRv4_ROM_NRTidalv2_NSBH:LowSpin.fits
GW191222_033537,C01:IMRPhenomXPHM,False,IGWN-GWTC3p0-v2-GW191222_033537_PEDataRelease_cosmo_reweight_C01:IMRPhenomXPHM.fits
GW191222_033537,C01:Mixed,True,IGWN-GWTC3p0-v2-GW191222_033537_PEDataRelease_cosmo_reweight_C01:Mixed.fits
GW191222_033537,C01:SEOBNRv4PHM,False,IGWN-GWTC3p0-v2-GW191222_033537_PEDataRelease_cosmo_reweight_C01:SEOBNRv4PHM.fits
GW191230_180458,C01:IMRPhenomXPHM,False,IGWN-GWTC3p0-v2-GW191230_180458_PEDataRelease_cosmo_reweight_C01:IMRPhenomXPHM.fits
GW191230_180458,C01:Mixed,True,IGWN-GWTC3p0-v2-GW191230_180458_PEDataRelease_cosmo_reweight_C01:Mixed.fits
GW191230_180458,C01:SEOBNRv4PHM,False,IGWN-GWTC3p0-v2-GW191230_180458_PEDataRelease_cosmo_reweight_C01:SEOBNRv4PHM.fits
GW200105_162426,C01:IMRPhenomNSBH:HighSpin,False,IGWN-GWTC3p0-v2-GW200105_162426_PEDataRelease_cosmo_reweight_C01:IMRPhenomNSBH:HighSpin.fits
GW200105_162426,C01:IMRPhenomNSBH:LowSpin,False,IGWN-GWTC3p0-v2-GW200105_162426_PEDataRelease_cosmo_reweight_C01:IMRPhenomNSBH:LowSpin.fits
GW200105_162426,C01:IMRPhenomXPHM:HighSpin,False,IGWN-GWTC3p0-v2-GW200105_162426_PEDataRelease_cosmo_reweight_C01:IMRPhenomXPHM:HighSpin.fits
GW200105_162426,C01:Mixed,True,IGWN-GWTC3p0-v2-GW200105_162426_PEDataRelease_cosmo_reweight_C01:Mixed.fits
GW200105_162426,C01:Mixed:NSBH:HighSpin,False,IGWN-GWTC3p0-v2-GW200105_162426_PEDataRelease_cosmo_reweight_C01:Mixed:NSBH:HighSpin.fits
