,ra,dec,ids,bands
59,270.96956851240077,-19.69955110973235,2025062300381,r
60,273.9099155226483,-20.32720377836415,2025062300382,r
61,273.2585229329629,-17.35724979913162,2025062300383,r
62,270.4050055441935,-16.740616198032132,2025062300384,r
63,272.5743053078769,-14.34708915560335,2025062300385,r
64,269.7887774301908,-13.730455337933511,2025062300386,r
65,267.569681254547,-16.091647090085633,2025062300387,r
66,268.0420054550794,-19.02795388372395,2025062300388,r
67,265.46093019523346,-21.145796735328872,2025062300389,r
68,265.11605177794974,-18.297455832526495,2025062300390,r
69,262.1741415848337,-17.477821094323406,2025062300391,r
70,259.1955800430972,-16.509157922158206,2025062300392,r
71,256.1828256231078,-15.300853134813936,2025062300393,r
72,253.20935242123548,-14.012978420915122,2025062300394,r
73,259.0219006468589,-13.757803208730984,2025062300395,i
74,256.05411818365747,-12.541820113767637,2025062300396,i
75,250.49361364340515,-12.21790600088358,2025062300397,i
76,242.8739177040721,-11.811236497454086,2025062300400,i
77,245.5396492481049,-10.92943329454942,2025062300399,i
78,240.65386739810143,-9.558047283505376,2025062300401,i
79,245.15420092826741,-14.04518270191825,2025062300403,i
80,240.18181420073674,-12.670876264015666,2025062300402,i
81,275.22788851441345,-26.170338622415024,2025062300404,i
82,275.94502118180543,-29.05610086378979,2025062300405,i
83,274.04058700178837,-34.058715330046574,2025062300406,i
84,276.73338339220544,-31.923091154727246,2025062300407,i
85,280.18440889215134,-32.565277717674384,2025062300408,i
86,279.24788928543177,-29.686221593962046,2025062300409,i
87,278.4005059218091,-26.78612068181807,2025062300410,i
88,281.5948950238404,-27.36053233517271,2025062300411,i
89,280.694765254016,-24.429872448878786,2025062300412,i
90,277.6162003997076,-23.864486849436172,2025062300413,i
91,276.8692576678243,-20.918652843057895,2025062300414,i
92,279.8497007975517,-21.47825138352251,2025062300415,i
93,279.03393664788337,-18.504271212717285,2025062300416,i
94,276.13424202694756,-17.94472117946533,2025062300417,i
95,278.2219961693361,-15.506070811905973,2025062300418,i
96,280.21219376938046,-13.038707105135117,2025062300419,i
97,277.3958009073427,-12.484603514827596,2025062300420,i
98,275.3853872415309,-14.939297243592328,2025062300421,i
99,264.74355089872006,-15.40200646231951,2025062300422,i
100,261.9067609224197,-14.64792137475779,2025062300423,i
101,282.57726545841393,-30.269849702658874,2025062300424,r
102,283.66949475500365,-33.15523921163797,2025062300425,r
103,285.93448062890764,-30.810609987757562,2025062300426,r
104,286.91366671571626,-25.464439140111256,2025062300428,r
105,288.0528145464297,-28.399397317873834,2025062300427,r
106,286.86596751684186,-17.040387809921924,2025062300432,r
107,285.8724042857521,-22.50987986093938,2025062300429,r
108,284.89876175965776,-19.540437557333906,2025062300430,r
109,287.8575740025655,-20.015786633143435,2025062300431,r
110,283.96548214455976,-16.558235290688234,2025062300433,r
